background_id,order,case_id
bg_1,0,8
bg_1,1,15
bg_1,2,22
bg_1,3,24
bg_1,4,37
bg_1,5,79
bg_1,6,83
bg_1,7,116
bg_1,8,123
bg_1,9,137
bg_1,10,139
bg_1,11,173
bg_1,12,197
bg_1,13,199
bg_1,14,200
bg_1,15,204
bg_1,16,231
bg_1,17,250
bg_1,18,264
bg_1,19,273
bg_1,20,280
bg_1,21,302
bg_1,22,310
bg_1,23,314
bg_1,24,317
bg_1,25,331
bg_1,26,332
bg_1,27,335
bg_1,28,380
bg_1,29,386
bg_1,30,407
bg_1,31,416
bg_1,32,431
bg_1,33,465
bg_1,34,481
bg_1,35,505
bg_1,36,507
bg_1,37,525
bg_1,38,557
bg_1,39,562
bg_1,40,571
bg_1,41,592
bg_1,42,603
bg_1,43,604
bg_1,44,615
bg_1,45,691
bg_1,46,718
bg_1,47,722
bg_1,48,777
bg_1,49,793
bg_1,50,797
bg_1,51,812
bg_1,52,847
bg_1,53,874
bg_1,54,896
bg_1,55,918
bg_1,56,957
bg_1,57,984
bg_1,58,1014
bg_1,59,1024
bg_1,60,1082
bg_1,61,1093
bg_1,62,1096
bg_1,63,1140
bg_1,64,1150
bg_1,65,1154
bg_1,66,1184
bg_1,67,1193
bg_1,68,1194
bg_1,69,1197
bg_1,70,1209
bg_1,71,1212
bg_1,72,1260
bg_1,73,1261
bg_1,74,1276
bg_1,75,1277
bg_1,76,1282
bg_1,77,1283
bg_1,78,1308
bg_1,79,1383
bg_1,80,1389
bg_1,81,1445
bg_1,82,1449
bg_1,83,1458
bg_1,84,1469
bg_1,85,1482
bg_1,86,1503
bg_1,87,1517
bg_1,88,1538
bg_1,89,1572
bg_1,90,1603
bg_1,91,1614
bg_1,92,1622
bg_1,93,1630
bg_1,94,1633
bg_1,95,1664
bg_1,96,1709
bg_1,97,1717
bg_1,98,1732
bg_1,99,1757
bg_2,0,28
bg_2,1,41
bg_2,2,78
bg_2,3,87
bg_2,4,103
bg_2,5,122
bg_2,6,129
bg_2,7,138
bg_2,8,144
bg_2,9,151
bg_2,10,152
bg_2,11,167
bg_2,12,202
bg_2,13,221
bg_2,14,265
bg_2,15,275
bg_2,16,280
bg_2,17,301
bg_2,18,307
bg_2,19,398
bg_2,20,403
bg_2,21,459
bg_2,22,477
bg_2,23,481
bg_2,24,486
bg_2,25,489
bg_2,26,492
bg_2,27,497
bg_2,28,507
bg_2,29,542
bg_2,30,546
bg_2,31,551
bg_2,32,563
bg_2,33,567
bg_2,34,580
bg_2,35,596
bg_2,36,611
bg_2,37,623
bg_2,38,647
bg_2,39,652
bg_2,40,657
bg_2,41,677
bg_2,42,678
bg_2,43,705
bg_2,44,709
bg_2,45,765
bg_2,46,788
bg_2,47,799
bg_2,48,848
bg_2,49,887
bg_2,50,888
bg_2,51,913
bg_2,52,914
bg_2,53,959
bg_2,54,968
bg_2,55,981
bg_2,56,989
bg_2,57,1022
bg_2,58,1035
bg_2,59,1044
bg_2,60,1045
bg_2,61,1056
bg_2,62,1063
bg_2,63,1106
bg_2,64,1122
bg_2,65,1131
bg_2,66,1134
bg_2,67,1145
bg_2,68,1171
bg_2,69,1177
bg_2,70,1211
bg_2,71,1213
bg_2,72,1249
bg_2,73,1298
bg_2,74,1340
bg_2,75,1361
bg_2,76,1381
bg_2,77,1419
bg_2,78,1434
bg_2,79,1437
bg_2,80,1481
bg_2,81,1502
bg_2,82,1504
bg_2,83,1543
bg_2,84,1546
bg_2,85,1577
bg_2,86,1582
bg_2,87,1600
bg_2,88,1658
bg_2,89,1688
bg_2,90,1701
bg_2,91,1707
bg_2,92,1723
bg_2,93,1725
bg_2,94,1737
bg_2,95,1761
bg_2,96,1772
bg_2,97,1789
bg_2,98,1794
bg_2,99,1800
bg_3,0,25
bg_3,1,26
bg_3,2,39
bg_3,3,67
bg_3,4,73
bg_3,5,76
bg_3,6,93
bg_3,7,132
bg_3,8,153
bg_3,9,168
bg_3,10,190
bg_3,11,202
bg_3,12,206
bg_3,13,219
bg_3,14,227
bg_3,15,244
bg_3,16,253
bg_3,17,290
bg_3,18,302
bg_3,19,343
bg_3,20,364
bg_3,21,403
bg_3,22,410
bg_3,23,421
bg_3,24,433
bg_3,25,454
bg_3,26,482
bg_3,27,485
bg_3,28,487
bg_3,29,489
bg_3,30,490
bg_3,31,491
bg_3,32,505
bg_3,33,513
bg_3,34,526
bg_3,35,556
bg_3,36,597
bg_3,37,604
bg_3,38,645
bg_3,39,669
bg_3,40,680
bg_3,41,736
bg_3,42,756
bg_3,43,760
bg_3,44,794
bg_3,45,797
bg_3,46,802
bg_3,47,807
bg_3,48,811
bg_3,49,836
bg_3,50,876
bg_3,51,881
bg_3,52,884
bg_3,53,888
bg_3,54,907
bg_3,55,966
bg_3,56,987
bg_3,57,1009
bg_3,58,1032
bg_3,59,1050
bg_3,60,1090
bg_3,61,1091
bg_3,62,1098
bg_3,63,1099
bg_3,64,1126
bg_3,65,1128
bg_3,66,1129
bg_3,67,1135
bg_3,68,1172
bg_3,69,1174
bg_3,70,1197
bg_3,71,1206
bg_3,72,1213
bg_3,73,1284
bg_3,74,1301
bg_3,75,1305
bg_3,76,1363
bg_3,77,1373
bg_3,78,1378
bg_3,79,1381
bg_3,80,1400
bg_3,81,1407
bg_3,82,1437
bg_3,83,1481
bg_3,84,1520
bg_3,85,1551
bg_3,86,1567
bg_3,87,1589
bg_3,88,1597
bg_3,89,1607
bg_3,90,1621
bg_3,91,1649
bg_3,92,1654
bg_3,93,1665
bg_3,94,1671
bg_3,95,1677
bg_3,96,1707
bg_3,97,1740
bg_3,98,1769
bg_3,99,1799
